function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,split,home,direction
AR predictions (aie),0.9317,0.2613,0.9514,0.8854,0.809,0.191,0.00859,0.991,228,54,5,577,0.2,H2,reverse
AR predictions (aie),0.5535,0.6682,0.7098,0.0326,0.0166,0.983,0.00264,0.997,26,1538,5,1887,0.3,H2,normal
AR predictions (aie),0.9292,0.2661,0.9529,0.8571,0.823,0.177,0.0337,0.966,306,66,36,1032,0.3,H2,reverse
AR predictions (aie),0.6045,0.6289,0.7036,0.4059,0.314,0.686,0.176,0.824,428,936,317,1487,0.4,H2,normal
AR predictions (aie),0.8918,0.329,0.9228,0.819,0.74,0.26,0.0329,0.967,423,149,38,1118,0.4,H2,reverse
AR predictions (aie),0.7635,0.4863,0.7983,0.7142,0.744,0.256,0.223,0.777,766,264,349,1213,0.5,H2,normal
AR predictions (aie),0.8138,0.4315,0.8629,0.7099,0.579,0.421,0.0343,0.966,525,381,48,1350,0.5,H2,reverse
AR predictions (aie),0.7505,0.4995,0.8125,0.6271,0.618,0.382,0.181,0.819,423,262,241,1090,0.6,H2,normal
AR predictions (aie),0.7868,0.4617,0.8389,0.6848,0.533,0.467,0.0184,0.982,667,584,30,1599,0.6,H2,reverse
AR predictions (aie),0.7101,0.5385,0.784,0.5594,0.556,0.444,0.214,0.786,318,254,247,909,0.7,H2,normal
AR predictions (aie),0.7626,0.4872,0.8254,0.6296,0.468,0.532,0.015,0.985,639,725,27,1777,0.7,H2,reverse
AR predictions (aie),0.7118,0.5368,0.7866,0.5561,0.601,0.399,0.241,0.759,208,138,194,612,0.8,H2,normal
AR predictions (aie),0.5753,0.6517,0.7304,0.0,0.0,1.0,0.0,1.0,0,1590,0,2154,0.8,H2,reverse
ground truth AR,0.9194,0.2839,0.948,0.8204,0.702,0.298,0.00319,0.997,1485,631,19,5929,0.2,H3,normal
ground truth AR,0.9757,0.1559,0.9873,0.6918,0.688,0.312,0.0124,0.988,55,25,24,1912,0.2,H3,reverse
ground truth AR,0.9414,0.2421,0.9611,0.8811,0.802,0.198,0.00686,0.993,1563,386,36,5215,0.3,H3,normal
ground truth AR,0.9736,0.1624,0.9856,0.8462,0.846,0.154,0.0144,0.986,209,38,38,2595,0.3,H3,reverse
ground truth AR,0.9517,0.2197,0.9678,0.9038,0.874,0.126,0.0212,0.979,1372,197,95,4384,0.4,H3,normal
ground truth AR,0.9794,0.1435,0.9878,0.9338,0.933,0.067,0.012,0.988,585,42,41,3364,0.4,H3,reverse
ground truth AR,0.9458,0.2328,0.9664,0.8596,0.828,0.172,0.0246,0.975,860,179,102,4043,0.5,H3,normal
ground truth AR,0.9812,0.1371,0.9877,0.9602,0.96,0.0398,0.0123,0.988,1111,46,46,3693,0.5,H3,reverse
ground truth AR,0.9509,0.2216,0.9701,0.8634,0.828,0.172,0.0208,0.979,626,130,68,3208,0.6,H3,normal
ground truth AR,0.974,0.1611,0.983,0.9449,0.935,0.0646,0.0139,0.986,1347,93,64,4544,0.6,H3,reverse
ground truth AR,0.9552,0.2117,0.9729,0.87,0.829,0.171,0.017,0.983,475,98,44,2551,0.7,H3,normal
ground truth AR,0.969,0.176,0.9799,0.9332,0.921,0.0795,0.0161,0.984,1494,129,85,5204,0.7,H3,reverse
ground truth AR,0.9539,0.2148,0.97,0.9003,0.882,0.118,0.024,0.976,420,56,37,1503,0.8,H3,normal
ground truth AR,0.9665,0.183,0.9788,0.9198,0.9,0.1,0.0154,0.985,1548,172,98,6246,0.8,H3,reverse
OR (aie),0.7376,0.5123,0.849,0.0,0.0,1.0,0.0,1.0,0,2116,0,5948,0.2,H3,normal
OR (aie),0.9603,0.1992,0.9798,0.0,0.0,1.0,0.0,1.0,0,80,0,1936,0.2,H3,reverse
OR (aie),0.7293,0.5203,0.8435,0.0,0.0,1.0,0.0,1.0,0,1949,0,5251,0.3,H3,normal
OR (aie),0.9142,0.2929,0.9552,0.0,0.0,1.0,0.0,1.0,0,247,0,2633,0.3,H3,reverse
OR (aie),0.7406,0.5093,0.851,0.0,0.0,1.0,0.0,1.0,0,1569,0,4479,0.4,H3,normal
OR (aie),0.8445,0.3943,0.9157,0.0,0.0,1.0,0.0,1.0,0,627,0,3405,0.4,H3,reverse
OR (aie),0.7996,0.4477,0.8886,0.0,0.0,1.0,0.0,1.0,0,1039,0,4145,0.5,H3,normal
OR (aie),0.7637,0.4861,0.866,0.0,0.0,1.0,0.0,1.0,0,1157,0,3739,0.5,H3,reverse
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,0.6,H3,normal
OR (aie),0.7619,0.488,0.8649,0.0,0.0,1.0,0.0,1.0,0,1440,0,4608,0.6,H3,reverse
OR (aie),0.8191,0.4253,0.9006,0.0,0.0,1.0,0.0,1.0,0,573,0,2595,0.7,H3,normal
OR (aie),0.7652,0.4846,0.867,0.0,0.0,1.0,0.0,1.0,0,1623,0,5289,0.7,H3,reverse
OR (aie),0.7639,0.4859,0.8661,0.0,0.0,1.0,0.0,1.0,0,476,0,1540,0.8,H3,normal
OR (aie),0.7867,0.4618,0.8806,0.0,0.0,1.0,0.0,1.0,0,1720,0,6344,0.8,H3,reverse
OR (ai),0.4799,0.7212,0.4623,0.4964,0.977,0.0232,0.697,0.303,2067,49,4145,1803,0.2,H3,normal
OR (ai),0.3909,0.7805,0.5363,0.1127,0.975,0.025,0.633,0.367,78,2,1226,710,0.2,H3,reverse
OR (ai),0.4763,0.7237,0.4476,0.502,0.975,0.0246,0.709,0.291,1901,48,3723,1528,0.3,H3,normal
OR (ai),0.4267,0.7571,0.544,0.2281,0.988,0.0121,0.626,0.374,244,3,1648,985,0.3,H3,reverse
OR (ai),0.463,0.7328,0.4396,0.4844,0.973,0.0274,0.716,0.284,1526,43,3205,1274,0.4,H3,normal
OR (ai),0.4608,0.7343,0.5327,0.3628,0.987,0.0128,0.636,0.364,619,8,2166,1239,0.4,H3,reverse
